식품명,에너지(kcal),단백질(g),지방(g),탄수화물(g)
감자빵_찐찐 감자빵,247,2.22,,
감자빵_포슬쫀득 감자빵,284,3.64,,
감자빵_포슬쫀득감자빵,284,3.64,,
감자샐러드,161,2.7,9.97,15.59
감자샐러드,165,2.8,10.32,15.65
감자샐러드,161,2.7,9.97,15.59
감자샐러드,161,2.7,9.97,15.59
감자샐러드 샌드위치,109,3.0,4.8,13.59
감자샐러드 샌드위치,108,3.1,4.73,13.39
감자샐러드 샌드위치,108,3.1,4.73,13.39
감자샐러드_당근,77,1.2,4.49,8.31
감자샐러드_오이,104,1.7,6.05,11.17
감자스프,100,2.7,4.33,12.06
감자스프,85,2.9,4.45,8.13
감자스프,86,2.9,4.45,8.13
감자연근튀김,149,3.8,4.31,22.74
감자전,41,0.8,1.42,6.2
감자전,93,1.98,3.24,13.75
감자전,133,1.72,6.54,16.79
감자전,41,0.8,1.42,6.2
감자전,135,4.1,5.4,16.98
감자조림,75,1.8,1.36,14.28
감자조림,92,1.8,2.49,15.95
감자조림,114,2.4,3.52,18.1
감자조림,132,2.8,4.86,19.78
감자조림,66,1.58,0.85,13.29
감자탕,65,4.59,3.34,4.5
감자탕,51,3.39,2.61,3.87
감자탕,71,6.31,4.06,2.27
감자탕,67,4.66,3.96,3.37
감자탕,27,2.9,0.63,2.35
감자튀김,312,4.55,17.01,35.15
감자튀김,114,2.1,4.78,15.88
감자튀김,103,1.9,4.35,14.28
감자튀김,114,2.1,4.78,15.88
감자튀김,103,1.9,4.35,14.28
감자튀김_BBQ 감자튀김,254,3.21,,
감자튀김_간편조리세트_몬스터 치즈 프라이,269,5.54,17.74,21.78
감자튀김_갈릭포테이토,185,3.0,,
감자튀김_감자볼튀김,278,2.25,,32.59
감자튀김_모둠 감자튀김,231,2.44,,
감자튀김_못난이치즈감자,186,3.86,,
감자튀김_양념감자 어니언,308,3.53,,
감자튀김_양념감자 치즈,311,3.88,,
감자튀김_양념감자 칠리,307,3.58,,
감자튀김_웨지감자,231,3.94,9.58,32.25
감자튀김_트러플포테이토스틱,166,2.78,,
감자튀김_포테이토,199,3.75,,
감자튀김_포테이토(L),308,3.68,,
감자튀김_포테이트(R),309,3.67,,
감자튀김_프렌치 프라이,275,3.75,,
감자튀김_해쉬라운즈,205,2.0,,
갑오징어무침,50,5.31,0.74,5.89
갓김치,37,3.26,0.4,7.07
강낭콩밥,111,2.2,0.15,24.21
강낭콩밥,111,2.2,0.15,24.21
강낭콩밥,112,2.3,0.34,23.99
강낭콩밥,112,2.3,0.34,23.99
개고기 수육,226,15.8,17.15,3.1
개고기무침,121,7.63,8.82,3.76
개고기전골,74,5.56,5.03,2.35
개피떡(바람떡),206,5.32,0.81,44.3
건갈치조림,96,11.2,3.68,3.68
건꼴뚜기조림_풋고추,288,29.4,13.55,10.14
건새우 미역국,28,3.8,1.03,1.02
건새우 미역국,27,3.8,1.04,0.92
건새우 미역국,27,3.8,1.03,0.93
건새우 미역국,27,3.8,1.04,0.92
건새우볶음,109,9.9,5.12,5.45
건새우볶음,109,9.9,5.12,5.45
건새우볶음,154,15.6,5.64,9.52
건새우볶음,304,41.55,12.95,5.4
건새우볶음,154,15.6,5.64,9.52
건새우볶음_건새우,120,15.53,3.87,4.96
건새우볶음_건새우_꽈리고추,71,7.11,2.3,5.65
건새우볶음_풋고추,163,10.7,7.62,12.71
건포도빵_건포도빵 (대),311,7.53,,
건포도빵_건포도빵 (소),310,7.76,,
건포도빵_우리쌀건포도브레드,265,6.0,,
검정콩밥,136,3.3,0.79,27.6
검정콩밥,121,3.2,0.8,24.31
검정콩밥,120,2.6,0.54,25.15
검정콩밥,121,2.7,0.56,25.08
검정콩밥_보리,143,3.2,0.66,29.94
검정콩밥_보리,143,3.2,0.66,29.94
겉절이_배추,55,2.28,2.14,6.58
겉절이_상추,61,2.36,3.41,5.26
겉절이_열무,58,2.4,2.94,5.38
겉절이_치커리,56,1.49,3.65,4.4
게국지,38,4.08,1.1,2.88
게맛살튀김,213,6.1,8.61,26.31
게맛살튀김,213,6.1,8.61,26.31
게살죽,71,2.24,0.89,13.42
게장_간장,88,12.25,2.31,4.47
게장_양념,111,12.24,3.3,8.07
게조림,21,4.2,0.18,0.31
게조림,93,18.9,0.81,1.48
겨자채,128,7.3,8.76,4.27
겨자채,128,7.3,8.76,4.27
겨자채,120,5.4,8.88,4.02
겨자채,120,5.4,8.88,4.02
견과_넛츠앤푸르츠,550,17.5,37.5,37.5
경단_깨,319,4.44,0.54,74.22
경단_깨,240,6.28,6.72,38.58
경단_찹쌀_카스텔라,237,4.1,1.8,51.1
경단_콩,314,3.51,0.46,74.03
계란 덮밥,169,5.0,3.69,27.22
계란 덮밥,152,4.7,4.85,21.33
계란 덮밥,152,4.7,4.85,21.33
계란덮밥,143,4.31,2.82,25.14
계란빵,158,5.9,1.81,27.72
계란빵,158,6.0,1.99,27.2
계란빵,158,6.0,1.99,27.2
계란빵_쌀계란빵,313,2.0,,
계란빵_콘치즈 계란빵,240,10.0,,
계란빵_트윈에그 브레드,238,10.48,,
고구마_밤고구마_삶은것,132,2.45,0.12,30.17
고구마_찐고구마,139,1.67,0.24,32.47
고구마깻잎튀김,169,2.6,4.0,29.95
고구마맛탕,246,1.65,5.5,47.3
고구마맛탕,160,0.61,3.66,31.45
고구마맛탕,141,0.75,4.0,25.54
고구마맛탕,143,0.71,3.53,27.12
고구마맛탕,209,1.0,4.95,40.14
고구마밥,139,2.3,0.35,30.44
고구마밥,139,2.3,0.35,30.47
고구마밥,139,2.3,0.35,30.44
고구마전,227,2.92,7.98,35.99
고구마조림,167,2.5,0.59,38.6
고구마조림,167,2.5,0.59,38.6
고구마조림,167,2.5,0.61,38.53
고구마줄기나물,60,0.8,4.76,3.41
고구마줄기나물,22,0.6,1.13,2.42
고구마줄기나물,60,0.8,4.76,3.41
고구마줄기나물,97,1.64,7.46,5.77
고구마줄기나물,83,0.98,7.0,4.1
고구마줄기나물,22,0.56,1.13,2.45
고구마줄기나물_고춧가루,27,1.2,0.69,4.3
고구마줄기나물_고춧가루,27,1.2,0.69,4.23
고구마줄기나물_고춧가루,27,1.2,0.69,4.3
고구마줄기나물_고춧가루,27,1.2,0.69,4.23
고구마줄기나물_들깨,39,1.5,2.09,3.93
고구마줄기나물_들깨,39,1.5,2.09,3.93
고구마줄기나물_들깨,39,1.5,2.09,3.93
고구마튀김,193,2.7,6.86,29.37
고구마튀김,193,2.7,6.86,29.37
고구마튀김,182,1.9,4.74,32.12
고구마튀김,253,2.72,11.87,33.8
고구마튀김,233,1.48,10.9,31.33
고기만두,96,5.4,1.81,13.59
고기만두,105,6.6,2.51,13.15
고기만두,99,6.1,1.63,14.13
고기만두,114,5.9,2.16,16.96
고들빼기김치,68,2.84,0.66,12.58
고들빼기김치,111,3.16,1.22,21.87
고들빼기김치,71,3.0,1.38,11.52
고등어구이,179,12.71,12.18,3.6
고등어구이,202,13.37,13.22,6.25
고등어구이,176,12.28,11.84,3.9
고등어구이,142,9.51,9.99,2.69
고등어구이_기름,144,9.5,9.99,2.69
고등어구이_기름,177,12.3,11.84,3.9
고등어구이_기름,206,13.4,13.22,6.25
고등어구이_기름,182,12.7,12.18,3.6
고등어구이_석쇠,340,23.38,25.69,3.79
고등어구이_카레,194,13.9,11.75,6.35
고등어구이_카레,194,13.9,11.75,6.35
고등어구이_카레,190,14.0,11.63,6.42
고등어조림,114,10.2,4.99,6.06
고등어조림,108,8.36,6.07,4.9
고등어조림,114,10.2,4.99,6.06
고등어조림,141,11.25,8.84,4.1
고등어조림_모듬채소,60,5.1,2.81,3.42
고등어조림_무,94,8.4,4.27,5.02
고등어조림_무,94,8.4,4.27,5.02
고등어조림_무,94,8.4,4.27,5.02
고등어조림_무,94,8.4,4.27,5.02
고등어조림_배추김치,75,6.5,3.45,4.32
고등어조림_배추김치,82,6.97,3.53,5.61
고등어조림_배추김치,104,7.92,5.38,5.8
고등어조림_배추김치,105,9.61,4.82,5.73
고등어찌개,38,3.5,1.69,2.02
고등어찌개,38,3.5,1.69,2.02
고등어찌개,100,8.15,5.62,4.27
고등어찜,92,8.6,4.88,3.21
고등어찜,92,8.6,4.88,3.21
고등어튀김,126,6.2,9.68,2.29
고등어튀김,219,13.5,13.58,8.99
고등어튀김,126,6.2,9.68,2.29
고디국(다슬기맑은국),17,1.4,0.71,1.57
고디국(다슬기맑은국),17,1.4,0.71,1.58
고디국(다슬기맑은국),17,1.4,0.71,1.58
고사리나물,34,2.7,1.65,3.57
고사리나물,43,1.6,3.48,2.08
고사리나물,43,1.6,3.48,2.08
고사리나물,56,3.7,3.14,4.89
고사리나물무침,90,3.78,5.52,6.28
고추잡채,67,4.18,3.91,4.21
고추잡채,91,9.69,3.47,5.09
고추잡채,69,4.2,4.01,4.27
고추잡채_간편조리세트_고추잡채 꽃빵키트,168,6.76,5.62,22.5
고추장볶음,396,9.5,25.57,34.64
고추장볶음,235,8.96,4.85,43.37
고추장볶음,376,9.1,24.52,33.35
고추장아찌,124,2.39,0.63,31.49
고추장아찌 무침,62,1.5,0.9,13.91
고추장찌개_두부,49,3.19,1.27,6.96
고추장찌개_두부,56,5.26,2.13,4.17
고추전,183,8.61,11.48,11.34
고추전,234,12.0,14.56,15.71
고추조림,111,3.3,4.9,13.4
고추조림,40,1.9,0.8,6.89
고추조림,40,1.9,0.8,6.89
고추조림_멸치,34,3.1,0.35,5.01
고추조림_멸치,57,7.08,1.21,4.69
고추튀김,202,7.6,12.6,14.6
고추튀김,218,5.9,9.24,26.51
고추튀김,218,5.9,9.24,26.51
고추튀김,177,4.7,7.42,21.78
고춧가루 양념장,140,5.9,7.19,14.39
고춧가루 양념장,140,5.9,7.19,14.39
고춧가루 양념장,140,5.9,7.19,14.39
고춧가루 양념장,140,5.9,7.19,14.39
고춧잎나물,101,6.9,4.21,12.51
고춧잎나물,30,2.1,1.44,3.33
고춧잎나물,101,6.9,4.21,12.59
고춧잎나물,41,3.8,0.68,7.13
고춧잎나물무침,88,4.41,4.69,7.14
곤드레나물밥,149,2.94,2.71,28.26
곤드레밥,124,2.2,0.94,26.8
곤드레밥,124,2.2,0.94,26.8
곤드레밥,124,2.2,0.94,26.8
곤드레밥,124,2.2,0.94,26.8
곤드레밥_양념장,87,2.09,0.97,17.09
곤약무침_마요네즈,83,0.7,7.7,3.62
곤약조림,43,1.1,1.99,7.17
곤약조림,31,0.8,1.46,5.19
곤약조림,31,0.8,1.46,5.19
곤약조림,43,1.1,1.99,7.17
골뱅이무침,109,7.08,1.97,15.69
골뱅이무침,118,17.2,1.18,10.06
골뱅이무침,118,17.2,1.18,10.06
골뱅이무침_소면,109,5.01,1.47,18.91
골뱅이무침_소면,102,8.4,1.55,13.91
골뱅이무침_채소,69,5.98,0.84,10.29
골뱅이무침_채소,59,5.54,0.68,8.23
골뱅이무침_채소,60,5.06,0.74,9.16
골뱅이무침_채소_소면,87,5.01,0.71,15.19
곰치국,42,5.43,1.18,2.39
곰탕,32,1.9,1.65,2.11
곰탕,65,3.4,2.61,6.53
곰탕,140,7.5,5.94,12.67
곰탕,68,3.5,2.62,6.95
곰탕,61,6.47,1.23,6.03
곰탕,24,3.43,1.12,0.11
곰탕_우거지,25,2.37,0.6,2.6
곱창구이_소고기,184,14.89,11.73,4.71
곱창볶음_돼지고기,182,9.7,10.37,13.81
곱창볶음_돼지고기,130,7.23,3.0,18.52
곱창볶음_돼지껍데기,235,17.2,11.13,16.33
곱창전골,47,3.57,2.61,2.66
곱창전골_간편조리세트_대한곱창 곱창전골,140,5.79,9.11,8.65
곱창전골_간편조리세트_소곱창순대전골,75,3.95,2.82,8.36
곱창전골_소고기,88,6.93,4.55,4.87
과ㆍ채주스_22수박 주스 (L),48,0.59,,
과ㆍ채주스_22수박 주스 (Max),48,0.49,,
과ㆍ채주스_22수박 주스 (R),48,0.51,,
과ㆍ채주스_Oh 자몽 핫(HOT) (R),69,0.0,,
과ㆍ채주스_건강주스 자몽미모,62,0.13,,
과ㆍ채주스_건강주스 자몽미모 (Grande),61,0.21,,
과ㆍ채주스_건강주스 자몽미모 (Mini Venti),55,0.18,,
과ㆍ채주스_건강주스 자몽미모 (Venti),51,0.14,,
과ㆍ채주스_골드키위 주스,58,0.18,,
과ㆍ채주스_골드키위주스,64,0.48,,
과ㆍ채주스_구아바 크림 주스,43,0.25,,
과ㆍ채주스_그린 데이즈,30,0.27,0.01,
과ㆍ채주스_그린 클렌즈,19,0.28,,
과ㆍ채주스_기운내라임 병음료,47,0.53,,
과ㆍ채주스_깔라망코 주스 (L),41,0.03,,
과ㆍ채주스_깔라망코 주스 (R),42,0.05,,
감자튀김_크런치감자스틱,147,1.6,,
과ㆍ채주스_놀라운망고,32,0.03,,
과ㆍ채주스_놀라운청포도,32,0.01,,
과ㆍ채주스_놀라운패션후르츠,31,0.01,,
과ㆍ채주스_당근,29,0.36,0.04,6.88
과ㆍ채주스_당근사과 주스,36,0.21,,8.72
과ㆍ채주스_더 건강한 스트로베리 주스,55,0.53,,13.68
과ㆍ채주스_딸기 바나나 주스,45,0.69,0.54,9.44
과ㆍ채주스_딸기 바나나 주스,62,1.06,,
과ㆍ채주스_딸기 생과일주스,42,0.56,,
과ㆍ채주스_딸기 주스,90,0.28,,
과ㆍ채주스_딸기 주스,63,0.42,,
과ㆍ채주스_딸기 주스,51,0.1,0.03,12.54
과ㆍ채주스_딸기 주스,81,0.43,0.21,19.57
과ㆍ채주스_딸기 주스,27,0.17,,
과ㆍ채주스_딸기 주스,36,0.96,,
과ㆍ채주스_딸기 주스,43,0.56,,
과ㆍ채주스_딸기 주스,34,0.21,,
과ㆍ채주스_딸기 주스,42,0.46,,
과ㆍ채주스_딸기 주스,36,0.48,,
과ㆍ채주스_딸기 주스 (Grande),91,0.21,,
과ㆍ채주스_딸기 주스 (L),50,0.33,,
과ㆍ채주스_딸기 주스 (L),35,0.0,,4.23
과ㆍ채주스_딸기 주스 (L),49,0.22,,
과ㆍ채주스_딸기 주스 (ML),39,0.0,,4.65
과ㆍ채주스_딸기 주스 (Mini Venti),86,0.18,,
과ㆍ채주스_딸기 주스 (R),54,0.35,,
과ㆍ채주스_딸기 주스 (R),47,0.31,,
과ㆍ채주스_딸기 주스 (Tall),89,0.28,,
과ㆍ채주스_딸기 주스 (Venti),77,0.28,,
과ㆍ채주스_딸기 주스 병음료,58,0.0,,
과ㆍ채주스_딸기 쥬스,46,0.3,0.0,11.04
과ㆍ채주스_딸기 토마토 주스,54,0.28,,
과ㆍ채주스_딸기_바나나,54,1.37,0.52,11.06
과ㆍ채주스_딸기바나나,59,1.01,1.05,11.4
과ㆍ채주스_딸기바나나 주스,41,0.76,,
과ㆍ채주스_딸기주스,33,0.07,0.02,8.22
과ㆍ채주스_딸기주스,65,0.48,,
과ㆍ채주스_레드 클렌즈,28,0.28,,
과ㆍ채주스_레드오렌지 자몽주스,35,0.15,0.02,8.51
과ㆍ채주스_레드클렌즈,28,0.28,,
