식품명,에너지(kcal),단백질(g),지방(g),탄수화물(g)
치즈스틱_순수치즈스틱,220,11.95,,
치즈스틱_치즈 스틱 (2개),318,13.64,,
치즈스틱_치즈 스틱 (4개),319,12.5,,
치즈스틱_치즈스틱,322,15.67,,
치즈스틱_치즈스틱,279,11.0,,
치즈스틱_치즈스틱 (6조각),310,16.81,,
치커리 겉절이,22,0.7,0.73,3.5
치커리 겉절이,58,2.9,3.0,6.04
치커리 겉절이,58,2.9,3.01,6.18
치커리겉절이,22,0.72,0.73,3.51
치커리무침,16,0.8,0.48,2.35
치킨가스,296,13.96,16.96,22.01
치킨데리야끼,208,16.54,9.01,15.21
치킨데리야끼,142,25.4,1.55,5.56
치킨데리야끼,87,11.2,0.7,8.74
치킨데리야끼,117,16.0,0.99,10.96
칠면조구이,207,30.6,7.98,0.96
카레라이스,108,3.11,1.4,20.74
카레라이스_돼지고기,100,2.64,1.59,18.4
카레라이스_돼지고기,90,2.8,1.65,15.73
카레라이스_돼지고기,164,4.6,2.84,29.04
카레라이스_돼지고기,167,4.8,2.47,30.95
카레라이스_돼지고기_모듬채소,99,2.7,1.52,18.44
카레라이스_돼지고기_모듬채소,99,2.7,1.52,18.44
카레라이스_돼지고기_모듬채소,99,2.7,1.52,18.44
카레라이스_두부,104,3.7,2.43,16.18
카레라이스_소고기,113,2.7,2.48,19.28
카레라이스_오징어,117,4.3,1.83,20.69
카레라이스_채소,95,2.09,1.18,18.96
카레소스,136,9.16,8.38,6.02
카레소스,70,2.7,2.33,9.75
카레소스,70,2.7,2.33,9.75
카레소스,66,2.78,2.07,9.9
카레소스,70,2.7,2.33,9.75
카레소스_치킨마크니 찍먹커리,172,3.65,,28.01
카스텔라,335,10.03,11.47,47.99
카스텔라_난리난 카스텔라,312,6.67,,41.67
카스텔라_민트초코 생크림 카스텔라,326,7.2,,
카스텔라_베리베리 카스텔라,341,6.0,,
카스텔라_부드러운 생크림 카스텔라,332,5.88,,
카스텔라_생크림 가득 카스텔라,174,2.76,,
카스텔라_생크림 카스테라,352,6.67,,
카스텔라_생크림 카스테라,386,10.83,,
카스텔라_생크림 카스테라,352,6.61,,
카스텔라_생크림 카스텔라,349,5.36,20.54,35.71
카스텔라_우리 흑米 카스텔라,315,8.0,,
카스텔라_우리米 카스텔라,305,7.0,,
카스텔라_우유생크림 카스테라,329,5.71,18.1,37.14
카스텔라_우유크림 카스테라,352,33.33,,
카스텔라_우유크림카스테라,333,5.71,,
카스텔라_촉촉한 쌀카스테라 녹차,294,6.67,,
카스텔라_촉촉한 쌀카스테라 플레인,309,6.67,,
카스텔라_카스테라구마,314,4.76,,
카스텔라_카스텔라우유스틱 브레드,284,7.0,,
카스텔라_큐브 라이스 카스텔라,323,7.5,,
카스텔라_크림가득 카스테라,314,5.6,,
카스텔라_클래식 카스테라,309,11.77,11.77,39.71
카스텔라_펄 슈가 카스테라,303,7.5,,
카스텔라_폭신한 생크림 카스텔라,352,5.46,,
카스텔라_폭탄 카스테라,352,33.33,,
카스텔라_플레인 카스테라,368,4.23,,
카스텔라_후레쉬카스텔라,337,6.0,,
카페라떼,38,1.7,1.83,3.57
카페라떼_시럽,51,1.7,1.83,6.9
카페라떼_카라멜,59,1.7,1.84,9.24
카페모카,63,1.9,1.9,9.64
카페모카_카라멜,74,1.9,1.9,12.7
카페모카_카라멜_휘핑크림,105,2.1,4.98,13.26
카페모카_휘핑크림,93,2.1,4.98,10.19
칼국수,97,2.7,0.29,20.03
칼국수,77,3.3,0.49,14.9
칼국수,97,2.7,0.29,20.03
칼국수,85,2.4,0.26,17.53
칼국수,97,2.7,0.29,20.03
칼국수_간편조리세트_닭한마리와 칼국수,94,7.95,2.28,10.53
칼국수_간편조리세트_세숫대야 바지락칼국수,74,2.28,2.87,9.72
칼국수_간편조리세트_원주식장칼국수,78,2.71,0.66,15.27
칼국수_간편조리세트_장칼국수,80,2.51,1.12,15.06
칼국수_닭고기,53,4.1,0.48,7.69
칼국수_닭고기,53,4.1,0.48,7.69
칼국수_닭고기,74,4.69,1.42,10.52
칼국수_들깨,76,2.93,2.75,9.97
칼국수_들깨,113,3.41,2.73,18.42
칼국수_바지락,47,2.1,0.53,8.27
칼국수_바지락,54,2.4,0.61,9.36
칼국수_바지락,82,3.43,0.53,15.97
칼국수_소고기,59,2.0,1.93,8.09
칼국수_소고기,57,2.2,1.07,9.01
칼국수_해물,78,3.1,0.39,14.74
칼국수_해물,78,3.1,0.39,14.74
칼국수_해물,78,3.1,0.39,14.74
칼국수_해물,78,3.1,0.39,14.74
칼국수_해물,70,2.53,0.51,13.77
캔디_씨프렌즈 캔디,392,0.0,,
캔디_아몬드 토피넛 캔디,527,1.67,,
캘리포니아롤,163,4.11,3.02,29.74
커피(타먹는커피),51,0.5,1.17,9.81
커피_공차슈페너 DRIP 아이스(ICED) (L),21,0.21,,
커피_공차슈페너 ESP 아이스(ICED) (L),21,0.21,,
커피_과테말라 누에보 오리엔테,1,0.06,,
커피_그린티 샷 라떼 아이스(ICED),57,1.54,,
커피_그린티 샷 라떼 핫(HOT),82,2.43,,
커피_그린티 카페 라떼 아이스(ICED),83,2.82,,
커피_그린티 카페 라떼 핫(HOT),83,2.82,,
커피_그린티더블샷 아이스(ICED),53,1.14,,
커피_그린티더블샷 핫(HOT),99,2.07,,
커피_그린티도피오 라떼 아이스(ICED),65,1.97,,
커피_그린티도피오 라떼 핫(HOT),86,2.82,,
커피_그샷추 아이스(ICED) (Grande),79,1.46,,
커피_그샷추 아이스(ICED) (Mini Venti),76,1.23,,
커피_그샷추 아이스(ICED) (Tall),74,1.39,,
커피_그샷추 아이스(ICED) (Venti),79,1.25,,
커피_그샷추 핫(HOT) (Grande),88,1.67,,
커피_그샷추 핫(HOT) (Mini Venti),84,1.58,,
커피_그샷추 핫(HOT) (Tall),87,1.95,,
커피_그샷추 핫(HOT) (Venti),77,1.39,,
커피_꼰대 라떼 아이스(ICED),71,0.49,2.2,12.44
커피_꼰대 라떼 핫(HOT),94,0.65,2.9,16.45
커피_꿀 다크리카노 아이스(ICED),29,0.17,,
커피_꿀 다크리카노 핫(HOT),29,0.17,,
커피_꿀 라떼 아이스(ICED),46,1.39,,
커피_꿀 라떼 아이스(ICED),47,1.34,,
커피_꿀 라떼 아이스(ICED) (L),17,0.08,,
커피_꿀 라떼 아이스(ICED) (M),18,0.07,,
커피_꿀 라떼 핫(HOT),67,2.24,,
커피_꿀 라떼 핫(HOT),70,2.18,,
커피_꿀 라떼 핫(HOT) (L),17,0.11,,
커피_꿀 라떼 핫(HOT) (M),18,0.07,,
커피_꿀 커피 아이스(ICED),21,0.12,,
커피_꿀 커피 아이스(ICED),21,0.17,,
커피_꿀 커피 핫(HOT),27,0.21,,
커피_꿀 커피 핫(HOT),26,0.15,,
커피_꿀메리카노 I’m B 아이스(ICED) (L),17,0.1,,
커피_꿀메리카노 I’m B 아이스(ICED) (M),18,0.05,,
커피_꿀메리카노 I’m B 핫(HOT) (L),16,0.04,,
커피_꿀메리카노 I’m B 핫(HOT) (M),18,0.07,,
커피_꿀메리카노 I’m D 아이스(ICED) (L),17,0.11,,
커피_꿀메리카노 I’m D 아이스(ICED) (M),18,0.07,,
커피_꿀메리카노 I’m D 핫(HOT) (L),16,0.04,,
커피_꿀메리카노 I’m D 핫(HOT) (M),19,0.08,,
커피_꿀아메리카노 아이스(ICED),23,0.13,0.04,5.49
커피_꿀아메리카노 핫(HOT),29,0.15,0.03,7.07
커피_나이트로 바닐라 크림 (Tall),23,0.28,,
커피_나이트로 콜드 브루 (Tall),1,0.0,,
커피_낭만 달고나 카페 라떼 아이스(ICED),102,1.25,,
커피_낭만 달고나 카페 라떼 핫(HOT),110,1.25,,
커피_넘버원모카 아이스(ICED) (L),84,1.52,,
커피_넘버원모카 아이스(ICED) (R),91,0.89,,
커피_넘버원모카 핫(HOT) (L),113,2.15,,
커피_넘버원모카 핫(HOT) (R),123,2.14,,
커피_녹차 샷 라떼 아이스(ICED),58,1.51,,
커피_녹차 샷 라떼 핫(HOT),84,2.39,,
커피_니트로 콜드브루,1,0.0,,
커피_니트로커피,3,0.24,,
커피_달고나 아인슈페너 아이스(ICED),63,0.21,,
커피_달고나 커피 아이스(ICED),66,1.18,,
커피_달고나 커피 핫(HOT),62,1.08,,
커피_달고나 콜드브루 라떼 아이스(ICED),58,1.22,,
커피_달고나 콜드브루 라떼 아이스(ICED),58,1.24,,
커피_달고나 콜드브루 라떼 핫(HOT),84,2.05,,
커피_달고나 콜드브루 라떼 핫(HOT),83,2.03,,
커피_달고나 크림커피 아이스(ICED),84,1.04,,
커피_달고나카페 라떼 아이스(ICED) (L),69,1.69,,
커피_달고나카페 라떼 아이스(ICED) (Max),61,1.52,,
커피_달고나카페 라떼 아이스(ICED) (R),62,1.45,,
커피_달고나카페 라떼 핫(HOT) (L),88,2.96,,
커피_달고나카페 라떼 핫(HOT) (R),89,3.1,,
커피_달고나커피,111,2.47,4.97,14.08
커피_달고나커피 아이스(ICED),66,1.18,,
커피_달고나커피 핫(HOT),62,1.08,,
커피_달달연유 라떼 아이스(ICED),55,1.97,,
커피_달달연유 라떼 핫(HOT),104,3.59,,
커피_달달커피 (EX),48,0.29,,
커피_달달커피 (L),52,0.38,,
커피_당 걱정 없는 카라멜 라떼 (Grande),36,2.43,,
커피_당 걱정 없는 카라멜 라떼 (Venti),18,1.08,,
커피_더벤티사이즈 디카페인 아메리카노 아이스(ICED),3,0.11,,
커피_더벤티사이즈 디카페인 카페 라떼 아이스(ICED),32,1.37,,
커피_더벤티사이즈 믹스커피 아이스(ICED),59,0.21,,
커피_더벤티사이즈 아메리카노 아이스(ICED),3,0.21,,
커피_더벤티사이즈 카페 라떼 아이스(ICED),32,1.48,,
커피_더블 모카 라떼 다크로스트 (K(코끼리)),74,2.62,,
커피_더블 모카 라떼 다크로스트 (L),83,2.96,,
커피_더블 모카 라떼 다크로스트 (R),94,3.1,,
커피_더블 모카 라떼 디카페인 (K(코끼리)),74,2.62,,
커피_더블 모카 라떼 디카페인 (L),83,2.96,,
커피_더블 모카 라떼 디카페인 (R),94,3.1,,
커피_더블 모카 라떼 아이스(ICED) (K(코끼리)),74,2.62,,
커피_더블 모카 라떼 아이스(ICED) (L),83,2.96,,
커피_더블 모카 라떼 아이스(ICED) (R),94,3.1,,
커피_더블 모카 라떼 프리미엄마일드 (K(코끼리)),74,2.62,,
커피_더블 모카 라떼 프리미엄마일드 (L),83,2.96,,
커피_더블 모카 라떼 프리미엄마일드 (R),94,3.1,,
커피_더블 모카 라떼 핫(HOT) (K(코끼리)),74,2.62,,
커피_더블 모카 라떼 핫(HOT) (L),83,2.96,,
커피_더블 모카 라떼 핫(HOT) (R),94,3.1,,
커피_더블 베네브루 디카페인 (S),75,0.95,,
커피_더블 베네브루 블루밍 (S),76,0.95,,
커피_더블 베네브루 시그니처 (S),77,0.95,,
커피_더블 에스프레소,37,1.67,,
커피_더블돌체 라떼 아이스(ICED) (L),71,1.82,,
커피_더블돌체 라떼 아이스(ICED) (R),72,1.83,,
커피_더블돌체 라떼 핫(HOT) (L),100,2.93,,
커피_더블돌체 라떼 핫(HOT) (R),100,2.94,,
커피_더블샷 바닐라 딜라이트 아이스(ICED),63,1.98,,
커피_더블샷 바닐라 딜라이트 핫(HOT),79,3.11,,
커피_더블에스프레소,37,1.67,,
커피_더치 라떼,21,1.01,0.88,2.16
커피_더치 블랙 에티오피아 예가체프,3,0.19,,
커피_더치 블랙 케냐AA,3,0.19,,
커피_더치 썬셋,70,2.06,,
커피_더치 오션,71,2.06,,
커피_더치라떼 아이스(ICED),19,0.76,1.02,1.44
커피_더치아메리카노,3,0.18,0.01,0.51
커피_더치커피 핫(HOT),1,0.0,0.0,0.17
커피_데일리오트코코넛 라떼 아이스(ICED) (L),97,1.32,,
커피_데일리오트코코넛 라떼 아이스(ICED) (Max),97,1.32,,
커피_데일리오트코코넛 라떼 아이스(ICED) (R),98,1.23,,
커피_데일리오트코코넛 라떼 핫(HOT) (L),127,1.78,,
커피_데일리오트코코넛 라떼 핫(HOT) (R),126,1.74,,
커피_돌체 라떼 (Venti),44,1.57,,
커피_돌체 라떼 아이스(ICED),59,1.86,,
커피_돌체 라떼 아이스(ICED),77,2.5,,11.04
커피_돌체 라떼 아이스(ICED),54,1.41,,
커피_돌체 라떼 아이스(ICED),53,1.93,,
커피_돌체 라떼 아이스(ICED),44,1.7,,
커피_돌체 라떼 아이스(ICED),57,1.8,,
커피_돌체 라떼 아이스(ICED),53,1.93,,
커피_돌체 라떼 아이스(ICED) (Grande),54,1.25,,
커피_돌체 라떼 아이스(ICED) (L),41,1.3,,5.3
커피_돌체 라떼 아이스(ICED) (L),53,1.63,,
커피_돌체 라떼 아이스(ICED) (M),52,1.57,,
커피_돌체 라떼 아이스(ICED) (ML),38,1.27,,5.07
커피_돌체 라떼 아이스(ICED) (Mini Venti),67,1.4,,
커피_돌체 라떼 아이스(ICED) (Tall),54,1.39,,
커피_돌체 라떼 아이스(ICED) (Venti),91,1.25,,
커피_돌체 라떼 아이스(ICED) 빅사이즈,59,2.16,,
커피_돌체 라떼 핫(HOT),81,2.35,,
커피_돌체 라떼 핫(HOT),82,3.11,,
커피_돌체 라떼 핫(HOT),103,3.53,,13.65
커피_돌체 라떼 핫(HOT),62,2.54,,
커피_돌체 라떼 핫(HOT),61,2.08,,
커피_돌체 라떼 핫(HOT),58,1.84,,
커피_돌체 라떼 핫(HOT),94,3.59,,
커피_돌체 라떼 핫(HOT),86,2.92,,
커피_돌체 라떼 핫(HOT) (Grande),62,1.67,,
커피_돌체 라떼 핫(HOT) (L),56,1.79,,
커피_돌체 라떼 핫(HOT) (M),63,2.08,,
커피_돌체 라떼 핫(HOT) (ML),57,1.97,,7.89
커피_돌체 라떼 핫(HOT) (Mini Venti),64,1.58,,
커피_돌체 라떼 핫(HOT) (Tall),63,1.67,,
커피_돌체 라떼 핫(HOT) (Venti),59,1.39,,
커피_돌체 라떼 핫(HOT) 빅사이즈,93,3.5,,
커피_돌체 카페 라떼 아이스(ICED) (J),88,1.69,,
커피_돌체 카페 라떼 아이스(ICED) (L),88,1.69,,
커피_돌체 카페 라떼 핫(HOT) (J),115,2.54,,
커피_돌체 카페 라떼 핫(HOT) (L),115,2.42,,
커피_돌체 카푸치노 N2,143,2.14,,
커피_돌체 콜드 브루 (Tall),75,2.25,,
커피_돌체 콜드 브루 라떼 아이스(ICED),36,1.18,,
커피_돌체 콜드브루 라떼,49,1.96,1.31,
커피_돌체 콜드브루 라떼 디카페인 아이스(ICED) (L),54,1.51,,
커피_돌체 콜드브루 라떼 디카페인 아이스(ICED) (M),50,1.44,,
커피_돌체 콜드브루 라떼 디카페인 핫(HOT) (L),58,1.67,,
커피_돌체 콜드브루 라떼 디카페인 핫(HOT) (M),61,1.95,,
커피_돌체 콜드브루 라떼 아이스(ICED),56,1.3,,
커피_돌체 콜드브루 라떼 아이스(ICED),58,1.3,,
커피_돌체 콜드브루 라떼 아이스(ICED) (L),49,1.92,,
커피_돌체 콜드브루 라떼 아이스(ICED) (L),55,1.58,,
커피_돌체 콜드브루 라떼 아이스(ICED) (M),51,1.51,,
커피_돌체 콜드브루 라떼 아이스(ICED) (R),49,1.93,,
커피_돌체 콜드브루 라떼 핫(HOT) (L),58,1.73,,
커피_돌체 콜드브루 라떼 핫(HOT) (M),62,2.01,,
커피_돌체 콜드브루 아이스(ICED),58,1.83,2.29,7.27
커피_돌체 콜드브루 아이스(ICED),54,1.69,,
커피_돌체 콜드브루 아이스(ICED) (L),45,1.6,,6.7
커피_돌체 콜드브루 아이스(ICED) (ML),41,1.55,,6.05
커피_돌체 콜드브루 플로트 (L),76,2.25,,
커피_돌체 콜드브루 플로트 (R),70,1.94,,
커피_돌체라떼 아이스(ICED),46,1.41,1.77,5.72
커피_돌체콜드브루 아이스(ICED),54,1.69,,
커피_동교 라떼 아이스(ICED),69,1.86,,
커피_동교 라떼 핫(HOT),62,1.69,,
커피_듀얼브루 디카페인 아메리치노 라떼 아이스(ICED),51,1.78,,7.33
커피_듀얼브루 디카페인 아메리치노 아이스(ICED),6,0.24,,0.98
커피_듀얼브루 디카페인 아메리카노 아이스(ICED),6,0.24,,0.96
커피_듀얼브루 디카페인 아메리카노 핫(HOT),6,0.25,,1.0
커피_듀얼브루 디카페인 카페 라떼 아이스(ICED),30,1.49,,2.77
커피_듀얼브루 디카페인 카페 라떼 핫(HOT),51,2.63,,4.74
커피_디카페인 꿀 라떼 아이스(ICED),45,1.27,,
커피_디카페인 꿀 라떼 아이스(ICED),47,1.27,,
커피_디카페인 꿀 라떼 핫(HOT),66,2.09,,
커피_디카페인 꿀 라떼 핫(HOT),70,2.09,,
커피_디카페인 꿀 커피 아이스(ICED),20,0.05,,
커피_디카페인 꿀 커피 아이스(ICED),20,0.05,,
커피_디카페인 꿀 커피 핫(HOT),26,0.06,,
커피_디카페인 꿀 커피 핫(HOT),26,0.06,,
커피_디카페인 넛츠 크림 라떼 아이스(ICED),80,1.5,,
커피_디카페인 니트로 커피,3,0.0,,
커피_디카페인 달고나 콜드브루 라떼 아이스(ICED),58,1.25,,
커피_디카페인 달고나 콜드브루 라떼 아이스(ICED),59,1.24,,
커피_디카페인 달고나 콜드브루 라떼 핫(HOT),84,2.05,,
커피_디카페인 달고나 콜드브루 라떼 핫(HOT),83,2.07,,
커피_디카페인 돌체 콜드브루 라떼 아이스(ICED),57,1.34,,
커피_디카페인 돌체 콜드브루 라떼 아이스(ICED),56,1.34,,
커피_디카페인 돌체 콜드브루 아이스(ICED) (L),45,1.6,,6.7
커피_디카페인 돌체 콜드브루 아이스(ICED) (ML),41,1.55,,6.05
커피_디카페인 딥 화이트초코 모카 아이스(ICED),54,1.59,,
커피_디카페인 딥 화이트초코 모카 핫(HOT),78,2.5,,
커피_디카페인 밀크 카라멜마키아또 아이스(ICED),62,1.11,2.39,8.61
커피_디카페인 밀크 카라멜마키아또 핫(HOT),93,1.98,3.83,12.1
커피_디카페인 밀크카라멜마키아또 아이스(ICED),62,1.11,,8.61
커피_디카페인 밀크카라멜마키아또 핫(HOT),93,1.98,,12.1
커피_디카페인 바나나 달달 커피 아이스(ICED),76,0.53,,
커피_디카페인 바나나 달달 커피 아이스(ICED),76,0.52,,
커피_디카페인 바나나 달달 커피 핫(HOT),87,0.59,,
커피_디카페인 바나나 달달 커피 핫(HOT),87,0.59,,
커피_디카페인 바나리카노 아이스(ICED),1,0.0,0.03,0.19
커피_디카페인 바닐라 딜라이트 아이스(ICED),54,1.41,,
커피_디카페인 바닐라 딜라이트 핫(HOT),70,2.83,,
커피_디카페인 바닐라 라떼 아이스(ICED),41,1.29,,
커피_디카페인 바닐라 라떼 아이스(ICED),39,1.29,,
커피_디카페인 바닐라 라떼 아이스(ICED),54,1.26,2.48,6.4
커피_디카페인 바닐라 라떼 아이스(ICED) (EX),56,1.47,,
커피_디카페인 바닐라 라떼 아이스(ICED) (L),45,1.32,,
커피_디카페인 바닐라 라떼 핫(HOT),59,2.11,,
커피_디카페인 바닐라 라떼 핫(HOT),62,2.11,,
커피_디카페인 바닐라 라떼 핫(HOT),83,2.21,3.98,9.27
커피_디카페인 바닐라 라떼 핫(HOT) (EX),72,2.15,,
커피_디카페인 바닐라 라떼 핫(HOT) (L),56,1.88,,
커피_디카페인 바닐라 오트 콜드브루,50,0.48,,
커피_디카페인 바닐라 크림콜드브루 아이스(ICED),40,0.17,,
커피_디카페인 바닐라딥라떼 아이스(ICED),52,1.35,,
커피_디카페인 바닐라딥라떼 핫(HOT),63,1.86,,
커피_디카페인 버블 흑당 콜드브루,66,1.21,,
커피_디카페인 버블 흑당 콜드브루 (EX),79,1.38,,
커피_디카페인 베트남 연유 커피 아이스(ICED),59,0.54,,
커피_디카페인 베트남 연유 커피 아이스(ICED),76,0.68,,
커피_디카페인 베트남 연유 커피 핫(HOT),74,0.68,,
커피_디카페인 솔티드 카라멜 마키아토 아이스(ICED),54,1.27,,
커피_디카페인 솔티드 카라멜 마키아토 핫(HOT),77,2.09,,
커피_디카페인 스위티 소금 라떼 아이스(ICED),48,1.1,1.48,7.41
커피_디카페인 스위티 소금 라떼 핫(HOT),78,2.1,2.82,10.76
커피_디카페인 시그니처 라떼 아이스(ICED) (EX),74,1.18,,
커피_디카페인 시그니처 라떼 아이스(ICED) (L),70,1.13,,
커피_디카페인 시그니처 라떼 핫(HOT) (EX),89,1.38,,
커피_디카페인 시그니처 라떼 핫(HOT) (L),83,1.32,,
커피_디카페인 시나몬 라떼 아이스(ICED),46,1.09,1.55,6.74
커피_디카페인 시나몬 라떼 핫(HOT),73,1.99,2.78,9.71
커피_디카페인 시나몬라떼 아이스(ICED),46,1.09,,6.74
커피_디카페인 시나몬라떼 핫(HOT),73,1.99,,9.71
커피_디카페인 아메리카노 아이스(ICED),1,0.05,,
커피_디카페인 아메리카노 아이스(ICED),1,0.05,,
커피_디카페인 아메리카노 아이스(ICED),3,0.28,,
커피_디카페인 아메리카노 아이스(ICED),0,0.0,0.02,0.09
커피_디카페인 아메리카노 핫(HOT),3,0.28,,
커피_디카페인 아메리카노 핫(HOT),1,0.0,0.02,0.12
커피_디카페인 아메리카노 핫(HOT),2,0.06,,
커피_디카페인 아메리카노 핫(HOT),2,0.06,,
커피_디카페인 아몬드 라떼 아이스(ICED),39,1.29,,
커피_디카페인 아몬드 라떼 아이스(ICED),41,1.29,,
커피_디카페인 아몬드 라떼 핫(HOT),59,2.11,,
커피_디카페인 아몬드 라떼 핫(HOT),62,2.11,,
커피_디카페인 아인슈페너 라떼 아이스(ICED),58,1.18,,
커피_디카페인 아인슈페너 아이스(ICED),60,1.18,,
커피_디카페인 아인슈페너 아이스(ICED),135,1.21,,
커피_디카페인 아인슈페너 아이스(ICED),41,0.31,,
커피_디카페인 아인슈페너 핫(HOT),115,1.45,,
커피_디카페인 아포가토 오리지널,115,1.33,,
커피_디카페인 에스프레소 마끼아또 핫(HOT),30,0.0,,
커피_디카페인 에스프레소 콘파냐 핫(HOT),110,0.0,,
커피_디카페인 에스프레소 핫(HOT),17,0.0,,
커피_디카페인 에스프레소 핫(HOT),1,0.0,0.02,0.12
커피_디카페인 연유 라떼 아이스(ICED),61,1.94,2.41,7.86
커피_디카페인 연유 라떼 아이스(ICED),64,1.86,,
커피_디카페인 연유 라떼 핫(HOT),75,2.37,,
커피_디카페인 연유 라떼 핫(HOT),94,3.12,3.94,11.22
커피_디카페인 연유 카페 라떼 아이스(ICED) (EX),77,2.06,,
커피_디카페인 연유 카페 라떼 아이스(ICED) (L),66,1.88,,
커피_디카페인 연유 카페 라떼 핫(HOT) (EX),91,2.61,,
커피_디카페인 연유 카페 라떼 핫(HOT) (L),72,2.07,,
커피_디카페인 연유 콜드브루,67,1.93,,
커피_디카페인 연유 콜드브루 (EX),65,1.91,,
커피_디카페인 연유 콜드브루 플로트 (L),72,2.27,,
커피_디카페인 연유 콜드브루 플로트 (R),66,1.95,,
커피_디카페인 연유 콜드브루 플로트 (V),72,2.15,,
커피_디카페인 오트카페 라떼 아이스(ICED),26,0.34,,
커피_디카페인 오트카페 라떼 핫(HOT),39,0.51,,
커피_디카페인 제로슈가 스위트 아메리카노 아이스(ICED),0,0.0,0.02,2.38
커피_디카페인 제로슈가 스위트 아메리카노 핫(HOT),1,0.0,0.02,3.09
커피_디카페인 카라멜 마끼아또 아이스(ICED) (EX),50,1.32,,
커피_디카페인 카라멜 마끼아또 아이스(ICED) (L),46,1.32,,
커피_디카페인 카라멜 마끼아또 핫(HOT) (EX),61,1.69,,
커피_디카페인 카라멜 마끼아또 핫(HOT) (L),53,1.69,,
커피_디카페인 카라멜마끼야또 아이스(ICED),59,1.35,,
커피_디카페인 카라멜마끼야또 핫(HOT),71,1.86,,
커피_디카페인 카페 라떼 아이스(ICED),32,1.7,,
커피_디카페인 카페 라떼 아이스(ICED),30,1.25,1.68,2.17
커피_디카페인 카페 라떼 아이스(ICED),26,1.27,,
커피_디카페인 카페 라떼 아이스(ICED),28,1.27,,
스무디_타로 스무디,76,0.21,,
커피_디카페인 카페 라떼 아이스(ICED) (EX),26,1.18,,
커피_디카페인 카페 라떼 아이스(ICED) (L),26,1.13,,
커피_디카페인 카페 라떼 핫(HOT),49,2.54,,
커피_디카페인 카페 라떼 핫(HOT),46,2.09,,
커피_디카페인 카페 라떼 핫(HOT),43,1.86,,
커피_디카페인 카페 라떼 핫(HOT),54,2.28,3.06,3.92
커피_디카페인 카페 라떼 핫(HOT),42,2.09,,
커피_디카페인 카페 라떼 핫(HOT) (EX),43,2.0,,
커피_디카페인 카페 라떼 핫(HOT) (L),37,1.69,,
커피_디카페인 카페 모카 아이스(ICED),43,1.4,,
커피_디카페인 카페 모카 아이스(ICED),45,1.44,,
커피_디카페인 카페 모카 아이스(ICED) (EX),65,1.32,,
커피_디카페인 카페 모카 아이스(ICED) (L),65,1.32,,
커피_디카페인 카페 모카 핫(HOT),64,2.26,,
커피_디카페인 카페 모카 핫(HOT),67,2.3,,
커피_디카페인 카페 모카 핫(HOT) (EX),80,2.15,,
커피_디카페인 카페 모카 핫(HOT) (L),79,1.88,,
커피_디카페인 카페 아메리카노 아이스(ICED) (EX),2,0.15,,
커피_디카페인 카페 라떼 아이스(ICED),29,1.18,,
커피_디카페인 카페 아메리카노 아이스(ICED) (L),2,0.0,,
커피_디카페인 카페 아메리카노 핫(HOT) (EX),2,0.15,,
커피_디카페인 카페 아메리카노 핫(HOT) (L),2,0.0,,
커피_디카페인 카페모카 아이스(ICED),80,1.69,,
커피_디카페인 카페모카 아이스(ICED),63,1.71,2.54,8.27
커피_디카페인 카페모카 핫(HOT),82,2.22,3.3,10.75
커피_디카페인 카페모카 핫(HOT),92,2.03,,
커피_디카페인 카푸치노 아이스(ICED),26,1.13,,
커피_디카페인 카푸치노 핫(HOT),23,1.13,,
커피_디카페인 콜드브루,2,0.17,,
커피_디카페인 콜드브루 니트로 아이스(ICED),2,0.0,,
커피_디카페인 콜드브루 라떼,31,1.45,,
커피_디카페인 콜드브루 라떼,27,1.33,,
커피_디카페인 콜드브루 라떼 (EX),31,1.47,,
커피_디카페인 콜드브루 라떼 (L),22,1.0,,
커피_디카페인 콜드브루 라떼 (R),23,0.86,,
커피_디카페인 콜드브루 라떼 (V),25,1.17,,
커피_디카페인 콜드브루 라떼 아이스(ICED),23,1.13,,
커피_디카페인 콜드브루 라떼 아이스(ICED),24,1.17,,
커피_디카페인 콜드브루 라떼 아이스(ICED),28,1.18,,
커피_디카페인 콜드브루 라떼 아이스(ICED),25,1.17,,
커피_디카페인 콜드브루 라떼 아이스(ICED),31,1.69,,
커피_디카페인 콜드브루 라떼 아이스(ICED),24,1.34,1.07,2.23
커피_디카페인 콜드브루 라떼 아이스(ICED) (L),22,1.0,,1.7
커피_디카페인 콜드브루 라떼 아이스(ICED) (ML),21,0.99,,1.69
커피_디카페인 콜드브루 라떼 연유,60,2.17,,
커피_디카페인 콜드브루 라떼 핫(HOT),26,1.46,1.02,2.76
커피_디카페인 콜드브루 라떼 흑당,47,1.33,,
커피_디카페인 콜드브루 아메리카노,2,0.0,,
커피_디카페인 콜드브루 아메리카노 (EX),2,0.0,,
커피_디카페인 콜드브루 아메리카노 (L),3,0.2,,
커피_디카페인 콜드브루 아메리카노 (R),3,0.0,,
커피_디카페인 콜드브루 아메리카노 (V),3,0.17,,
커피_디카페인 콜드브루 아이스(ICED),2,0.17,,
커피_디카페인 콜드브루 아이스(ICED),1,0.03,,
커피_디카페인 콜드브루 아이스(ICED),1,0.09,0.05,0.14
커피_디카페인 콜드브루 아이스(ICED),1,0.03,0.0,0.0
커피_디카페인 콜드브루 아이스(ICED),2,0.14,,
